Model,Price,Rating,Display,Warranty,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
Mi Notebook Horizon Edition 14 Core i5 10th Gen ,49999,4.4,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty from the Date of Purchase,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
acer Aspire 3 Core i3 11th Gen ,32990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Acer,No,10,4,SSD,Intel,i3,Windows 10
Lenovo Ideapad Flex 5 Core i3 10th Gen ,43990,4.4,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,10,4,SSD,Intel,i3,Windows 10
Lenovo Ideapad 5 Ryzen 7 Octa Core 4700U ,57990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
Lenovo Ideapad Gaming 3 Ryzen 5 Hexa Core 4600H ,61990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,8,Both,AMD,Ryzen 5,Windows 10
Lenovo IdeaPad Gaming 3i Core i7 10th Gen ,72990,4.3,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,Both,Intel,i7,Windows 10
ASUS VivoBook Ultra 14 Core i5 11th Gen ,54990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS Ryzen 5 Quad Core 3500U ,39990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
MICROSOFT Surface Pro 7 Core i5 10th Gen ,78890,4.3,31.24 cm (12.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,MICROSOFT,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS TUF Gaming F15 Core i5 10th Gen ,61990,4.4,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
MSI GF63 Thin Core i7 9th Gen ,64890,4.5,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,9,8,SSD,Intel,i7,Windows 10
ASUS ROG Strix G15 (2020) Core i7 10th Gen ,84990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
Lenovo Thinkpad E14 Core i3 10th Gen ,40990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,4,SSD,Intel,i3,Windows 10
HP Pavilion x360 Core i7 10th Gen ,69990,4.6,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i7,Windows 10
ASUS VivoBook 15 Core i5 10th Gen ,52990,4.3,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,Both,Intel,i5,Windows 10
HP 14s Core i5 10th Gen ,56490,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,10,8,Both,Intel,i5,Windows 10
ASUS ROG Strix G15 Core i5 10th Gen ,69990,4.6,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook 15 Core i5 10th Gen ,44990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,HDD,Intel,i5,Windows 10
DELL Inspiron Core i3 11th Gen ,41790,,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,No,Dell,No,10,4,SSD,Intel,i3,Windows 10
APPLE MacBook Pro with Touch Bar Core i5 8th Gen ,96990,4.5,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,No,Apple,No,8,8,SSD,Intel,i5,Mac
DELL Inspiron Core i5 11th Gen ,69990,4.3,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,Yes,10,8,SSD,Intel,i5,Windows 10
DELL G3 Core i7 10th Gen ,88990,4.3,39.62 cm (15.6 inch) Display,1 Year Complete Cover Warranty,Yes,Dell,No,10,16,Both,Intel,i7,Windows 10
acer One 14 Pentium Gold ,22990,4.0,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,Not Mentioned,4,HDD,Not Metioned,Not Metioned,Windows 10
ASUS VivoBook 14 Ryzen 7 Octa Core 4700U ,55491,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
MSI GF65 Thin Core i7 9th Gen ,89890,4.5,39.62 cm (15.6 inch) Display,2 Year Carry In Warranty,Yes,MSI,No,9,16,SSD,Intel,i7,Windows 10
Lenovo Thinkpad E14 Core i5 10th Gen ,58990,5.0,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
ASUS ROG Strix G15 (2020) Core i7 10th Gen ,92990,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
DELL Inspiron 3505 Ryzen 7 Quad Core 3700U ,57890,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Dell,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
DELL Inspiron Ryzen 3 Dual Core 3250U ,34990,,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,Not Mentioned,8,HDD,AMD,Ryzen 3,Windows 10
ASUS VivoBook Gaming Core i7 9th Gen ,69990,4.3,39.62 cm (15.6 inch) Display,1 Year Limited International Hardware Warranty,Yes,Asus,No,9,16,SSD,Intel,i7,Windows 10
Mi Notebook 14 Core i5 10th Gen ,44999,4.3,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty from the Date of Purchase,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad S145 Core i5 10th Gen ,42990,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
