Model,Price,Rating,Display,Warranty,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
ASUS Ryzen 5 Quad Core ,43990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,4,SSD,AMD,Ryzen 5,Windows 10
ASUS ZenBook Classic Core i5 10th Gen ,105990,5.0,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
MSI Bravo 15 Ryzen 5 Hexa Core 4600H ,72990,4.5,39.62 cm (15.6 inch) Display,1 Year Warranty,Yes,MSI,No,Not Mentioned,16,SSD,AMD,Ryzen 5,Windows 10
MSI Stealth Core i7 8th Gen ,189990,4.8,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,8,16,SSD,Intel,i7,Windows 10
Lenovo Legion 5 Core i5 10th Gen ,76990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
ALIENWARE Core i7 10th Gen ,159990,4.9,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,ALIENWARE,No,10,16,SSD,Intel,i7,Windows 10
Lenovo Ideapad Flex 5 Ryzen 5 Quad Core 10110U 10th Gen ,58998,,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,10,8,SSD,AMD,Ryzen 5,Windows 10
acer Predator Triton 300 Core i7 10th Gen ,160090,3.7,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,10,16,SSD,Intel,i7,Windows 10
ASUS Core i7 10th Gen ,224990,,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,Asus,Yes,10,32,SSD,Intel,i7,Windows 10
ASUS ROG Core i7 7th Gen ,79990,3.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,7,8,Both,Intel,i7,Windows 10
MSI GS Core i7 8th Gen ,149990,4.1,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,8,16,SSD,Intel,i7,Windows 10
acer Core i7 8th Gen ,42990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Acer,No,8,8,HDD,Intel,i7,Windows 10
ASUS Core i5 8th Gen ,54990,4.3,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i5,Windows 10
DELL Inspiron Ryzen 5 Quad Core 3500U ,46990,3.9,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
ASUS ZenBook Classic Core i5 10th Gen ,64990,3.8,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ALIENWARE Core i7 10th Gen ,243990,4.0,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,ALIENWARE,No,10,16,SSD,Intel,i7,Windows 10
ASUS ZenBook 13 Core i5 10th Gen ,75990,,33.02 cm (13 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS ROG Zephyrus S15 Core i7 10th Gen ,224990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,32,SSD,Intel,i7,Windows 10
ASUS Core i3 10th Gen ,43590,,35.56 cm (14 inch) Display,,No,Asus,No,10,8,Both,Intel,i3,Windows 10
Lenovo Ideapad 3 Core i5 10th Gen ,47990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
acer Swift 5 Core i5 10th Gen ,69990,4.4,35.56 cm (14 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,SSD,Intel,i5,Windows 10
Lenovo IdeaPad Core i5 10th Gen ,64990,,39.62 cm (15.6 inch) Display,1 Year Warranty,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
DELL Inspiron Core i5 10th Gen ,73490,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
HP Omen 15 Ryzen 7 Octa Core 4800H ,121990,4.6,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,Not Mentioned,16,SSD,AMD,Ryzen 7,Windows 10
HP Spectre x360 Core i7 10th Gen ,162990,3.3,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,16,SSD,Intel,i7,Windows 10
HP Pavilion x360 Core i5 11th Gen ,72999,,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook Pro 15 Core i9 8th Gen ,204990,5.0,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,Asus,Yes,8,16,SSD,Intel,i9,Windows 10
ASUS Pro P5 Core i7 8th Gen ,98912,,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,No,Asus,No,8,8,Both,Intel,i7,Windows 10
MSI GE75 Raider Core i9 10th Gen ,239990,,43.94 cm (17.3 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,10,32,Both,Intel,i9,Windows 10
ASUS VivoBook Core i5 10th Gen ,56990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Flip 14 Ryzen 3 Quad Core 4300U ,50990,4.8,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Asus,Yes,Not Mentioned,4,SSD,AMD,Ryzen 3,Windows 10
Lenovo X390 Core i5 10th Gen ,126000,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
APPLE MacBook Pro Core i9 8th Gen ,199900,4.3,39.12 cm (15.4 inch) Display,1 Year Onsite Warranty,Yes,Apple,No,8,16,SSD,Intel,i9,Mac
acer Predator Helios 300 Core i7 10th Gen ,109990,4.6,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,10,16,Both,Intel,i7,Windows 10
Lenovo Ideapad 330 Core i5 8th Gen ,46990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,8,8,HDD,Intel,i5,Windows 10
MSI Summit E15 Core i7 11th Gen ,156990,,39.62 cm (15.6 inch) Touchscreen Display,2 Years Carry In Warranty,Yes,MSI,Yes,10,16,SSD,Intel,i7,Windows 10
MSI Creator 17 Core i7 10th Gen ,264990,,43.94 cm (17.3 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,10,32,SSD,Intel,i7,Windows 10
ALIENWARE Core i7 9th Gen ,209990,,43.94 cm (17.3 inch) Display,1 Year Onsite Warranty,Yes,ALIENWARE,No,9,16,Both,Intel,i7,Windows 10
HP Spectre x360 Core i5 10th Gen ,127990,5.0,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad 720S Core i5 8th Gen ,74990,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,8,8,SSD,Intel,i5,Windows 10
MSI WF65 Core i7 10th Gen ,159990,,39.62 cm (15.6 inch) Display,3 Years Carry In Warranty,Yes,MSI,No,10,16,Both,Intel,i7,Windows 10
Lenovo Core i5 9th Gen ,46990,4.1,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,Yes,Lenovo,No,9,8,HDD,Intel,i5,Windows 10
HP Omen Core i5 10th Gen ,96490,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i5 11th Gen ,54990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS ROG Strix Edition Core i7 7th Gen ,102990,5.0,39.62 cm (15.6 inch) Display,2 Years Onsite Warranty,Yes,Asus,No,7,16,Both,Intel,i7,Windows 10
LG Gram Core i5 8th Gen ,69990,4.8,39.62 cm (15.6 inch) Display,3 Year Limited Warranty,No,LG,No,8,8,SSD,Intel,i5,Windows 10
HP Spectre x360 Core i5 10th Gen ,210520,,39.62 cm (15.6 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,HP,Yes,10,16,SSD,Intel,i5,Windows 10
MSI GL Series Core i5 8th Gen ,60990,4.4,39.62 cm (15.6 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,8,8,HDD,Intel,i5,Windows 10
acer Predator Helios 300 Core i5 7th Gen ,65990,4.5,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,7,8,Both,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i5 10th Gen ,49990,3.9,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
DELL Vostro Core i3 10th Gen ,33990,3.7,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,4,HDD,Intel,i3,Windows 10
acer ConceptD 5 Core i5 8th Gen ,103990,,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,8,16,SSD,Intel,i5,Windows 10
HP Envy Core i5 10th Gen ,81890,4.0,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,HP,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS ZenBook 14 Core i7 8th Gen ,85990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i7,Windows 10
ASUS Core i5 10th Gen ,50975,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Legion 7i Core i7 10th Gen ,184990,3.8,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,16,SSD,Intel,i7,Windows 10
MSI GL Core i7 7th Gen ,95990,,39.62 cm (15.6 inch) Display,2 Years Warranty,Yes,MSI,No,7,8,HDD,Intel,i7,Windows 10
HP Core i3 11th Gen ,45990,4.4,39.62 cm (15.6 inches) Display,1 Year Domestic Brand Warranty on Device,No,HP,No,10,8,SSD,Intel,i3,Windows 10
MSI Prestige 14 Core i7 10th Gen ,84990,4.0,35.56 cm (14 inch) Display,1 Year Carry In Warranty,Yes,MSI,No,10,16,SSD,Intel,i7,Windows 10
Lenovo Ideapad 3 Core i5 10th Gen ,69890,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
ASUS ExpertBook B9 Core i7 10th Gen ,167890,,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
ASUS VivoBook 14 APU Quad Core A12 A12,33270,3.9,35.56 cm (14 inch) Display,1 Year Limited Hardware Warranty,No,Asus,No,Not Mentioned,4,HDD,AMD,APU,Windows 10
DELL Inspiron 3000 Core i3 10th Gen ,39402,4.1,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,8,HDD,Intel,i3,Windows 10
Nexstgo Core i5 8th Gen ,97990,,35.56 cm (14 inch) Display,3 Years Onsite Warranty,No,Nexstgo,No,8,16,SSD,Intel,i5,Windows 10
ASUS ZenBook Classic Core i5 10th Gen ,64990,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
MSI Core i7 7th Gen ,145990,4.2,43.94 cm (17.3 inch) Display,2 Years Warranty,Yes,MSI,No,7,16,Both,Intel,i7,Windows 10
MSI Core i7 8th Gen ,158990,,43.94 cm (17.3 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,8,16,Both,Intel,i7,Windows 10
ASUS ZenBook Flip 13 Core i5 11th Gen ,115990,,33.78 cm (13.3 Inches) Touchscreen Display,1 Year Onsite Warranty,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
Vaio E Series Ryzen 5 Quad Core 3500U ,44990,4.3,39.62 cm (15.6 inch) Display,2 Years Onsite Warranty,No,Vaio,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP Pavilion x360 Core i3 10th Gen ,54990,,35.56 cm (14 inch) Touchscreen Display,1 Year Manufacturer Warranty on the Device from the Date of Purchase,No,HP,Yes,10,8,SSD,Intel,i3,Windows 10
Avita Liber V14 Ryzen 5 Quad Core 3500U ,34990,4.2,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),No,Avita,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
Vaio SE Series Core i5 8th Gen ,62890,4.0,35.56 cm (14 inch) Display,2 Years Onsite Warranty,No,Vaio,No,8,8,SSD,Intel,i5,Windows 10
acer Aspire 5 Core i5 8th Gen ,54990,4.1,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,8,8,HDD,Intel,i5,Windows 10
ASUS ZenBook 13 Core i7 8th Gen ,64990,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i7,Windows 10
ASUS ExpertBook B9 Core i7 10th Gen ,167990,,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
APPLE MacBook Pro with Touch Bar Core i5 10th Gen ,174900,4.5,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,No,Apple,No,10,16,SSD,Intel,i5,Mac
APPLE MacBook Pro with Touch Bar Core i5 8th Gen ,129990,4.6,33.02 cm (13 inch) Display,1 Year Limited Hardware Warranty,No,Apple,No,8,8,SSD,Intel,i5,Mac
Lenovo B50,52490,3.8,39.62 cm (15.6 inch) Display,"Please Register your Warranty: http://support.lenovo.com/us/en/contactus/basewarrantyregistration, 1 Year Warranty Warranty to be Registered within 30 Days from the Date of Purchase",No,Lenovo,No,4,8,HDD,Intel,i5,Windows 8
acer P2 Series Core i5 10th Gen ,48990,4.1,35.56 cm (14 inch) Display,3 Years Domestic and 1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,HDD,Intel,i5,Windows 10
ALIENWARE Core i7 9th Gen ,204990,,39.62 cm (15.6 inch) Display,1 Year Complete Cover Warranty,Yes,ALIENWARE,No,9,16,SSD,Intel,i7,Windows 10
ASUS TUF Dash F15 (2021) Core i5 11th Gen ,99990,,39.62 cm (15.6 Inches) Display,1 Year Onsite Warranty,Yes,Asus,No,10,16,SSD,Intel,i5,Windows 10
Lenovo Legion 5 Core i5 10th Gen ,67990,4.1,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,8,Both,Intel,i5,Windows 10
acer Predator 17 Core i7 7th Gen ,179990,,43.94 cm (17.3 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,7,16,Both,Intel,i7,Windows 10
HP Pavilion Core i5 10th Gen ,74990,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,Yes,HP,No,10,8,SSD,Intel,i5,Windows 10
ASUS Core i5 11th Gen ,60990,,35.56 cm (14 inches) Touchscreen Display,,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
Lenovo B50,52490,3.8,39.62 cm (15.6 inch) Display,"Please Register your Warranty: http://support.lenovo.com/us/en/contactus/basewarrantyregistration, 1 Year Warranty Warranty to be Registered within 30 Days from the Date of Purchase",No,Lenovo,No,4,8,HDD,Intel,i5,Windows 8
acer P2 Series Core i5 10th Gen ,48990,4.1,35.56 cm (14 inch) Display,3 Years Domestic and 1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,HDD,Intel,i5,Windows 10
ASUS ROG Strix G17 (2021) Ryzen 9 Octa Core 5900HX ,154990,,43.94 cm (17.3 Inches) Display,1 Year Onsite Warranty,Yes,Asus,No,Not Mentioned,16,SSD,AMD,Not Metioned,Windows 10
DELL G5 15 SE Ryzen 5 Hexa Core 4600H ,75990,4.4,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
MSI GE Core i7 8th Gen ,159990,4.8,43.94 cm (17.3 inch) Display,2 Years Carry In Warranty,Yes,MSI,No,8,16,Both,Intel,i7,Windows 10
DELL Inspiron Core i5 10th Gen ,61890,4.3,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Dell,No,10,8,SSD,Intel,i5,Windows 10
HP Envy Core i5 10th Gen ,99990,5.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,10,16,SSD,Intel,i5,Windows 10
HP 250 G8 Core i5 11th Gen ,53999,,39.62 cm (15.6 inch) Display,12 Months Manufacturing Warranty,No,HP,No,10,8,HDD,Intel,i5,Windows 10
ASUS Ryzen 5 Quad Core 3500U ,41290,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
HP Omen Core i5 7th Gen ,99990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,7,8,Both,Intel,i5,Windows 10
ASUS Ryzen 5 Hexa Core ,57990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
Avita Liber V14 Ryzen 5 Quad Core 3500U ,34990,4.2,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),No,Avita,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
acer Core i7 6th Gen ,179990,,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty,Yes,Acer,No,6,16,Both,Intel,i7,Windows 10
ASUS ZenBook 13 Core i5 8th Gen ,59990,4.5,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,8,SSD,Intel,i5,Windows 10
ASUS ExpertBook P2 Core i7 10th Gen ,93990,,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,Yes,Asus,No,10,8,HDD,Intel,i7,Windows 10
Lenovo Yoga C640 Core i5 10th Gen ,83999,,34.54 cm (13.6 inch) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS Ryzen 5 Quad Core ,43490,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,4,SSD,AMD,Ryzen 5,Windows 10
DELL Inspiron Core i5 11th Gen ,57199,4.1,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,4,Both,Intel,i5,Windows 10
HP 15s Core i5 10th Gen ,53490,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,10,8,HDD,Intel,i5,Windows 10
ASUS ExpertBook P2 Core i5 10th Gen ,86990,,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS Ryzen 5 Quad Core ,44990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,HDD,AMD,Ryzen 5,Windows 10
MSI GS66 Stealth Core i7 10th Gen ,254990,,39.62 cm (15.6 inch) Display,2 Year Carry In Warranty,Yes,MSI,No,10,32,SSD,Intel,i7,Windows 10
acer Aspire 5 Core i5 11th Gen ,49990,4.1,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,SSD,Intel,i5,Windows 10
acer Spin 3 Core i3 10th Gen ,54990,,35.56 cm (14 inches) Touchscreen Display,1 Year International Travelers Warranty (ITW),No,Acer,Yes,10,8,SSD,Intel,i3,Windows 10
DELL G3 Core i7 10th Gen ,103790,3.6,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,No,10,16,SSD,Intel,i7,Windows 10
Lenovo Ideapad 130 Core i3 7th Gen ,29990,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,7,4,HDD,Intel,i3,Windows 10
HP Spectre x360 Core i5 8th Gen ,151133,,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,8,8,SSD,Intel,i5,Windows 10
Lenovo Legion 7i Core i7 10th Gen ,229998,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,16,SSD,Intel,i7,Windows 10
HP Ryzen 5 Hexa Core 5500U ,53800,,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
ASUS ExpertBook B9 Core i5 10th Gen ,132790,,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
ASUS TUF Core i5 8th Gen ,88990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,8,8,Both,Intel,i5,Windows 10
Lenovo Core i5 7th Gen ,52990,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,7,8,HDD,Intel,i5,Windows 10
MSI GF65 Thin Core i7 10th Gen ,89990,4.2,39.62 cm (15.6 inches) Display,2 Year Carry-In Warranty,Yes,MSI,No,10,16,SSD,Intel,i7,Windows 10
ASUS ZenBook S Core i7 8th Gen ,104990,4.3,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,8,16,SSD,Intel,i7,Windows 10
MICROSOFT Surface Laptop 3 Ryzen 5 Quad Core 3580U ,117990,4.7,38.1 cm (15 inch) Touchscreen Display,1 Year Limited Hardware Warranty,No,MICROSOFT,Yes,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
lenovo Ideapad Flex 5 Core i5 11th Gen Intel EVO ,64990,4.1,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,lenovo,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS ExpertBook P2 Core i5 10th Gen ,69290,,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,Yes,Asus,No,10,8,HDD,Intel,i5,DOS
DELL Inspiron 15 7000 Series Core i5 8th Gen ,79990,,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,No,8,8,Both,Intel,i5,Windows 10
HP Omen Core i5 7th Gen ,99990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,7,8,Both,Intel,i5,Windows 10
Lenovo ThinkPad E14 Core i3 10th Gen ,39990,,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,4,HDD,Intel,i3,Windows 10
DELL Inspiron Core i5 11th Gen ,88049,,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,Dell,Yes,10,8,SSD,Intel,i5,Windows 10
DELL Inspiron 7000 Core i5 10th Gen ,83990,,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,No,10,8,SSD,Intel,i5,Windows 10
DELL G5 15 SE Ryzen 7 Octa Core 4800H ,89990,4.3,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,No,Not Mentioned,16,SSD,AMD,Ryzen 7,Windows 10
ASUS Core i5 10th Gen ,51475,,39.62 cm (15.6 inch) Display,,No,Asus,No,10,8,Both,Intel,i5,Windows 10
Lenovo Ideapad 720S Core i7 8th Gen ,95695,,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,8,8,SSD,Intel,i7,Windows 10
HP 15s Core i5 11th Gen ,57490,3.7,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,10,8,HDD,Intel,i5,Windows 10
Lenovo Ideapad 3 Ryzen 3 Dual Core 3250U ,28990,3.7,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
Avita Liber Core i5 10th Gen ,36990,4.1,35.56 cm (14 inch) Display,18 Months Warranty + 6 Months Extended Warranty (6 Months Extended Warranty Upon Online Product Registration on www.avita-india.com),No,Avita,No,10,8,SSD,Intel,i5,Windows 10
DELL Inspiron 5000 Core i3 10th Gen ,55990,3.5,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,Yes,10,4,SSD,Intel,i3,Windows 10
DELL Inspiron Core i5 10th Gen ,76990,3.3,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,8,SSD,Intel,i5,Windows 10
ASUS ExpertBook B9 Core i7 10th Gen ,233990,,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
acer Swift 3 Core i5 8th Gen ,71990,4.4,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,8,8,HDD,Intel,i5,Windows 10
APPLE MacBook Air Core i5 10th Gen ,87990,4.4,33.78 cm (13.3 inch) Display,1 Year Limited Warranty,No,Apple,No,10,8,SSD,Intel,i5,Mac
MICROSOFT Surface Laptop Go Core i5 10th Gen ,88990,,31.5 cm (12.4 inch) Touchscreen Display,1 Year Limited Hardware Warranty,No,MICROSOFT,Yes,10,8,SSD,Intel,i5,Windows 10
Lenovo ideapad Core i3 7th Gen ,31990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,7,4,HDD,Intel,i3,Windows 10
HP Envy x360 Ryzen 5 Hexa Core 4500U ,64990,4.5,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
DELL Inspiron Core i7 10th Gen ,92500,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Dell,No,10,8,SSD,Intel,i7,Windows 10
acer Swift 3 Core i5 8th Gen ,56990,3.5,33.78 cm (13.3 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,8,8,SSD,Intel,i5,Windows 10
ASUS ZenBook 13 Core i5 11th Gen ,77890,5.0,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,8,SSD,Intel,i5,Windows 10
