Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
69990,4.6,Yes,HP,Yes,8,8,Both,Intel,i7,Windows 10
54990,4.4,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
49990,4.2,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
52990,4.4,Yes,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
63990,4.5,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
59990,4.4,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
28990,3.9,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
57199,4.1,No,Dell,No,10,4,Both,Intel,i5,Windows 10
37990,4.1,No,HP,No,10,8,HDD,Intel,i3,Windows 10
63990,4.4,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
37490,4.4,No,Lenovo,No,10,4,SSD,Intel,i3,DOS
87990,5.0,Yes,Lenovo,No,10,16,SSD,Intel,i7,Windows 10
61390,4.4,Yes,Dell,No,10,8,SSD,Intel,i5,Windows 10
47990,4.3,No,Lenovo,No,10,8,SSD,Intel,i3,Windows 10
32990,4.3,No,Lenovo,No,10,8,HDD,Intel,i3,Windows 10
46990,4.5,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
34490,3.9,No,Dell,No,10,4,HDD,Intel,i3,Windows 10
54990,4.9,No,Dell,Yes,10,4,SSD,Intel,i3,Windows 10
44990,3.8,No,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
36490,3.9,No,HP,No,10,4,HDD,Intel,i3,Windows 10
133990,4.7,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
52990,4.204958677685946,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
56690,4.204958677685946,No,Dell,Yes,10,8,SSD,Intel,i3,Windows 10
49990,3.4,Yes,MSI,No,9,8,HDD,Intel,i5,Windows 10
64490,4.4,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
77990,4.3,Yes,Dell,No,10,8,SSD,Intel,i7,Windows 10
89990,4.3,No,Lenovo,No,10,16,SSD,Intel,i7,Windows 10
89990,4.6,Yes,Acer,No,10,16,Both,Intel,i5,Windows 10
59990,4.5,No,Acer,No,10,8,SSD,Intel,i5,Windows 10
71990,4.204958677685946,Yes,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
32990,4.204958677685946,No,Asus,No,10,4,HDD,Intel,i3,Windows 10
64988,4.3,Yes,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
59990,4.4,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
65999,4.5,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
48990,4.1,Yes,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
33990,3.9,No,Acer,No,10,4,HDD,Intel,i3,Windows 10
47990,4.7,No,MSI,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
37890,4.3,No,Acer,No,10,4,SSD,Intel,i3,Windows 10
114990,4.204958677685946,Yes,Asus,No,Not Mentioned,16,SSD,AMD,Not Metioned,Windows 10
52990,3.9,No,HP,No,10,8,SSD,Intel,i5,Windows 10
