Title,Price,Rating,Processors,RAM,OS,Storage,Display,Warranty
ASUS ExpertBook B9 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Pro) ExpertBook B9 B9450FA Thin and ...,"1,32,790",,Intel Core i5 Processor (10th Gen),8 GB LPDDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,3 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase
ASUS TUF Core i5 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/6 GB Graphics/NVIDIA GeForce GTX ...,"88,990",4.2,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
Lenovo Core i5 7th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics) IP 520 Laptop,"52,990",4,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
MSI GF65 Thin Core i7 10th Gen - (16 GB/512 GB SSD/Windows 10 Home/6 GB Graphics) GF65 Thin 10SER-1258...,"89,990",4.2,Intel Core i7 Processor (10th Gen),16 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inches) Display,2 Year Carry-In Warranty
ASUS ZenBook S Core i7 8th Gen - (16 GB/512 GB SSD/Windows 10 Home) UX391UA-ET012T Thin and Light Lapt...,"1,04,990",4.3,Intel Core i7 Processor (8th Gen),16 GB DDR3 RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty
MICROSOFT Surface Laptop 3 Ryzen 5 Quad Core 3580U - (8 GB/128 GB SSD/Windows 10 Home) 1873 Laptop,"1,17,990",4.7,AMD Ryzen 5 Quad Core Processor,8 GB DDR4 RAM,64 bit Windows 10 Operating System,128 GB SSD,38.1 cm (15 inch) Touchscreen Display,1 Year Limited Hardware Warranty
lenovo Ideapad Flex 5 Core i5 11th Gen Intel EVO - (8 GB/512 GB SSD/Windows 10 Home) 5 14ITL05 2 in 1 ...,"64,990",4.1,Intel Core i5 Processor (11th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty
ASUS ExpertBook P2 Core i5 10th Gen - (8 GB/1 TB HDD/DOS/2 GB Graphics) ExpertBook P2 P2451FB Thin and...,"69,290",,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,DOS Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year Manufacturer Warranty on the Device and 6 Months Manufacturer Warranty on Included Accessories from the Date of Purchase
DELL Inspiron 15 7000 Series Core i5 8th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/2 GB Graphics...,"79,990",,Intel Core i5 Processor (8th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
HP Omen Core i5 7th Gen - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1...,"99,990",,Intel Core i5 Processor (7th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD|128 GB SSD,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty
Lenovo ThinkPad E14 Core i3 10th Gen - (4 GB/1 TB HDD/Windows 10 Home) E14 Laptop,"39,990",,Intel Core i3 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 10 Operating System,1 TB HDD,35.56 cm (14 inch) Display,1 Year Onsite Warranty
DELL Inspiron Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) Inspiron 7300 2 in 1 Laptop,"88,049",,Intel Core i5 Processor (11th Gen),8 GB LPDDR4X RAM,64 bit Windows 10 Operating System,512 GB SSD,33.78 cm (13.3 inch) Touchscreen Display,1 Year Onsite Warranty
DELL Inspiron 7000 Core i5 10th Gen - (8 GB/512 GB SSD/Windows 10 Home/2 GB Graphics) 7490 Thin and Li...,"83,990",,Intel Core i5 Processor (10th Gen),8 GB DDR4 RAM,64 bit Windows 10 Operating System,512 GB SSD,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
